Panelist ID,Application ID,Score
50,104,77
86,104,56
169,104,53
33,205,65
169,205,59
170,205,68
33,278,38
158,278,52
128,278,41
100,290,78
128,290,60
170,290,71
50,323,84
158,323,62
58,323,67
86,324,75
57,324,93
64,324,85
57,366,78
169,366,66
170,366,74
118,373,88
67,373,68
100,373,86
57,422,72
169,422,70
170,422,83
57,423,74
33,423,54
50,423,80
58,517,74
67,517,49
33,517,64
58,646,71
131,646,71
100,646,74
118,710,70
100,710,77
131,710,70
33,724,74
170,724,63
169,724,62
57,869,87
158,869,72
118,869,90
100,889,81
169,889,62
170,889,73
128,906,68
57,906,70
170,906,79
64,993,79
158,993,57
118,993,73
58,1090,80
128,1090,79
169,1090,72
158,1139,66
100,1139,76
86,1139,69
50,1151,83
131,1151,74
170,1151,76
86,1179,63
50,1179,82
33,1179,82
57,1239,65
170,1239,73
169,1239,71
58,1273,72
128,1273,80
169,1273,69
58,1332,71
131,1332,67
170,1332,78
128,1391,56
57,1391,60
158,1391,47
50,1714,84
131,1714,65
86,1714,67
86,1767,74
64,1767,77
158,1767,86
100,1885,83
158,1885,71
50,1885,88
33,1920,85
57,1920,83
86,1920,71
158,2109,84
57,2109,85
50,2109,88
33,2141,88
58,2141,80
86,2141,74
64,2418,73
86,2418,66
131,2418,69
86,2445,80
170,2445,83
169,2445,74
158,2480,78
33,2480,88
100,2480,85
86,2644,82
57,2644,91
64,2644,84
158,2667,69
170,2667,74
169,2667,64
100,2700,84
57,2700,85
50,2700,90
50,2715,76
86,2715,64
170,2715,75
50,2804,92
169,2804,67
170,2804,80
131,2832,70
158,2832,69
57,2832,84
128,2882,58
86,2882,55
100,2882,76
118,2974,83
57,2974,89
158,2974,71
100,3259,80
50,3259,78
128,3259,71
50,3273,71
158,3273,56
170,3273,61
118,3324,81
158,3324,78
131,3324,84
33,3341,72
131,3341,65
118,3341,86
118,3351,79
158,3351,69
100,3351,82
118,3421,74
170,3421,68
169,3421,60
158,3562,76
118,3562,85
57,3562,87
128,3648,64
86,3648,68
169,3648,70
33,3708,78
57,3708,82
158,3708,66
57,3725,78
67,3725,51
118,3725,81
50,3767,92
64,3767,88
131,3767,81
64,3776,79
86,3776,67
158,3776,70
33,3842,61
118,3842,82
57,3842,70
33,3915,83
131,3915,76
86,3915,81
158,3957,70
170,3957,79
169,3957,70
128,3989,72
100,3989,86
33,3989,68
50,4058,75
64,4058,77
86,4058,58
50,4248,90
131,4248,74
86,4248,69
57,4372,89
169,4372,73
170,4372,83
131,4493,72
58,4493,78
57,4493,84
131,4579,77
158,4579,77
64,4579,81
118,4717,81
33,4717,85
100,4717,92
57,4722,68
158,4722,65
100,4722,88
33,4802,66
57,4802,75
170,4802,79
50,4803,85
100,4803,95
158,4803,88
158,4819,69
50,4819,92
67,4819,59
118,4828,94
64,4828,84
86,4828,75
50,4901,75
57,4901,67
118,4901,62
50,4982,91
131,4982,80
100,4982,85
86,4985,71
64,4985,81
100,4985,80
100,5004,77
170,5004,70
169,5004,66
158,5044,61
57,5044,70
170,5044,80
100,5053,80
57,5053,74
158,5053,61
86,5090,76
118,5090,87
170,5090,78
57,5102,85
169,5102,70
170,5102,81
118,5160,85
158,5160,73
170,5160,85
57,5252,86
170,5252,70
169,5252,74
131,5328,73
50,5328,85
170,5328,74
86,5342,70
118,5342,78
169,5342,63
57,5345,73
158,5345,75
100,5345,80
33,5347,90
118,5347,87
158,5347,77
57,5400,96
131,5400,92
33,5400,100
50,5402,91
170,5402,78
169,5402,71
50,5412,78
118,5412,81
33,5412,62
33,5432,51
58,5432,65
169,5432,64
86,5460,78
169,5460,79
170,5460,80
100,5505,80
50,5505,87
131,5505,73
100,5589,76
158,5589,62
118,5589,75
86,5630,65
131,5630,71
50,5630,90
50,5658,92
118,5658,90
33,5658,86
100,5683,83
118,5683,85
169,5683,70
158,5770,71
33,5770,74
50,5770,88
86,5783,70
170,5783,76
169,5783,69
131,5996,80
158,5996,71
169,5996,67
33,5998,86
170,5998,82
169,5998,72
131,6038,60
118,6038,62
158,6038,61
128,6045,55
118,6045,73
33,6045,56
50,6164,69
128,6164,43
33,6164,62
158,6271,74
131,6271,77
128,6271,73
131,6273,86
118,6273,97
128,6273,94
128,6345,79
118,6345,83
158,6345,81
118,6532,70
50,6532,76
58,6532,67
57,6540,78
128,6540,76
158,6540,74
118,6607,68
158,6607,75
50,6607,81
57,6712,66
131,6712,69
158,6712,62
57,6736,73
58,6736,75
50,6736,75
100,6829,89
131,6829,74
57,6829,81
50,6899,87
131,6899,74
169,6899,63
118,6922,83
50,6922,86
100,6922,81
131,6962,81
64,6962,85
86,6962,71
128,7044,72
118,7044,88
100,7044,87
64,7062,67
86,7062,68
33,7062,60
118,7095,77
128,7095,68
158,7095,70
33,7148,63
57,7148,72
100,7148,75
128,7407,59
67,7407,41
57,7407,74
158,7445,41
57,7445,63
33,7445,66
57,7451,73
170,7451,76
169,7451,73
118,7453,83
169,7453,77
170,7453,83
158,7473,66
33,7473,73
50,7473,85
158,7544,86
50,7544,97
86,7544,80
128,7545,67
118,7545,88
33,7545,82
86,7574,70
64,7574,77
50,7574,72
50,7590,88
86,7590,73
118,7590,78
86,7724,60
131,7724,70
50,7724,80
64,7750,75
86,7750,74
118,7750,83
64,7879,86
57,7879,92
86,7879,75
158,7922,68
170,7922,86
169,7922,73
50,7990,78
131,7990,62
86,7990,67
50,8021,90
131,8021,82
128,8021,69
86,8061,75
128,8061,79
169,8061,69
158,8119,72
50,8119,86
170,8119,79
64,8295,79
86,8295,67
100,8295,80
100,8325,82
131,8325,81
158,8325,77
131,8364,70
67,8364,77
100,8364,81
33,8476,75
86,8476,74
58,8476,79
33,8574,80
50,8574,86
169,8574,55
158,8641,76
131,8641,80
128,8641,69
86,8799,78
57,8799,92
64,8799,90
64,8805,77
86,8805,79
118,8805,77
131,8829,61
64,8829,68
86,8829,60
128,8850,80
58,8850,82
50,8850,96
131,8954,76
170,8954,79
169,8954,71
64,8979,80
86,8979,71
57,8979,88
86,9000,62
67,9000,55
118,9000,65
50,9014,88
100,9014,82
128,9014,78
128,9079,65
86,9079,79
57,9079,83
50,9081,80
67,9081,56
33,9081,77
158,9114,81
170,9114,78
169,9114,74
57,9129,67
50,9129,83
100,9129,77
118,9140,90
58,9140,78
169,9140,69
86,9195,64
58,9195,74
57,9195,71
128,9264,71
158,9264,73
86,9264,63
100,9323,80
50,9323,77
86,9323,74
158,9330,68
128,9330,54
170,9330,69
100,9430,77
50,9430,76
64,9430,73
131,9645,69
50,9645,78
58,9645,79
86,9960,75
170,9960,82
169,9960,75
158,9970,68
57,9970,73
131,9970,71
100,10197,82
131,10197,65
86,10197,59
158,10206,82
86,10206,78
64,10206,83
100,10214,75
67,10214,46
50,10214,80
158,10339,69
86,10339,61
64,10339,74
50,10395,86
100,10395,85
86,10395,72
57,10499,85
50,10499,84
158,10499,77
57,10689,79
86,10689,70
50,10689,88
33,10695,80
67,10695,59
170,10695,81
131,10718,65
158,10718,64
169,10718,58
158,10787,73
128,10787,71
169,10787,74
50,10820,84
33,10820,87
100,10820,88
118,10935,76
100,10935,71
33,10935,59
50,10995,88
169,10995,70
170,10995,77
50,11122,91
33,11122,86
100,11122,84
158,11172,80
86,11172,74
118,11172,81
50,11192,85
131,11192,80
158,11192,72
128,11273,75
86,11273,71
169,11273,67
57,11314,90
158,11314,80
128,11314,77
128,11419,82
158,11419,70
100,11419,81
131,11447,68
158,11447,77
33,11447,73
100,11491,86
118,11491,81
64,11491,75
131,11967,68
118,11967,73
100,11967,83
57,12004,71
131,12004,71
86,12004,70
50,12429,97
57,12429,94
131,12429,85
58,12432,78
118,12432,85
33,12432,80
128,12462,78
57,12462,89
50,12462,87
158,12476,59
86,12476,69
64,12476,68
50,12528,71
118,12528,84
100,12528,84
50,12666,99
100,12666,86
118,12666,88
